loan_amount,annual_income,employment_status,credit_score,loan_purpose,gender,lender_1,lender_2,lender_3,lender_4,lender_5,lender_6,lender_7,lender_8,lender_9,lender_10,lender_11,lender_12,lender_13,lender_14,lender_15
459608,64568,salaried,586,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347094,6954,self-employed,682,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66502,190903,self-employed,611,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696438,66619,freelancer,681,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606251,164088,salaried,767,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322437,62217,self-employed,755,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125442,93476,freelancer,533,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313753,112353,freelancer,619,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820224,83859,student,521,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406663,71516,self-employed,648,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800115,167480,self-employed,572,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226675,36322,self-employed,752,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740731,53768,self-employed,796,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561480,94484,freelancer,759,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886808,142430,self-employed,570,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196394,121142,student,529,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62628,27989,salaried,711,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931023,86330,student,800,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133610,164985,salaried,622,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664541,47888,student,715,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407318,38623,salaried,567,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493403,139451,salaried,670,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911406,73790,student,542,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109598,31995,self-employed,705,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303788,19130,student,633,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628464,181940,self-employed,764,home,female,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
147652,181405,student,543,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800396,41632,freelancer,622,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429501,116782,freelancer,738,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271938,126733,freelancer,566,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787833,130148,student,729,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41108,47188,student,552,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987965,191291,salaried,603,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715968,196517,freelancer,654,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271427,161068,freelancer,544,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637836,72735,student,674,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468235,33204,self-employed,529,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436860,6741,student,666,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683854,35390,student,617,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720566,1899,self-employed,798,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548033,92969,self-employed,543,startup,male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141793,79996,self-employed,629,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832164,29035,self-employed,759,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443654,68754,salaried,754,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863377,33455,freelancer,765,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91593,70565,salaried,662,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
972395,118842,salaried,572,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
